qtrs_frm_peak,Date0,GDPC10,usgdp_dv_pk0,Date1,GDPC11,usgdp_dv_pk1,Date2,GDPC12,usgdp_dv_pk2,Date3,GDPC13,usgdp_dv_pk3,Date4,GDPC14,usgdp_dv_pk4,Date5,GDPC15,usgdp_dv_pk5,Date6,GDPC16,usgdp_dv_pk6,Date7,GDPC17,usgdp_dv_pk7,Date8,GDPC18,usgdp_dv_pk8,Date9,GDPC19,usgdp_dv_pk9,Date10,GDPC110,usgdp_dv_pk10,Date11,GDPC111,usgdp_dv_pk11,Date12,GDPC112,usgdp_dv_pk12,Date13,GDPC113,usgdp_dv_pk13,Date14,GDPC114,usgdp_dv_pk14
18,1934-01-01,858.1173292406908,0.7734633162083222,1942-01-01,1707.651522236601,1.4591022145938297,1949-07-01,2121.493,0.8927211430115773,1953-04-01,2720.566,1.2734109078654208,1957-10-01,2985.775,1.0974830237531457,1962-01-01,3502.298,1.1608625714663576,1964-07-01,3956.657,1.2070902028069035,1974-01-01,5682.353,1.1430203351243293,1978-04-01,6578.605,1.147771699229818,1984-07-01,7690.985,1.1240803890778517,1986-01-01,8153.829,1.167733865665398,1996-04-01,11005.217,1.1673426088834453,2005-10-01,15041.232,1.130801177681076,2012-04-01,16253.726,1.0308603725747196,,,
19,1934-04-01,882.5211486106678,0.795459677795325,1942-04-01,1782.6124617508804,1.5231525617689161,1949-10-01,2103.688,0.8852288251244474,1953-07-01,2705.258,1.2662457171743646,1958-01-01,2908.281,1.0689985098689023,1962-04-01,3533.947,1.1713528665595618,1964-10-01,3968.878,1.2108185647469207,1974-04-01,5695.859,1.145737102746156,1978-07-01,6644.754,1.1593127402457102,1984-10-01,7754.117,1.1333074832827246,1986-04-01,8190.552,1.1729930746516093,1996-07-01,11103.935,1.1778137997435396,2006-01-01,15244.088,1.1460519100479243,2012-07-01,16282.151,1.0326631718891928,,,
20,1934-07-01,905.594,0.8162563725384154,1942-07-01,1861.5,1.5905579897876179,1950-01-01,2186.365,0.9200191854700945,1953-10-01,2664.302,1.247075508790324,1958-04-01,2927.395,1.0760242537766038,1962-07-01,3577.362,1.185743089361908,1965-01-01,4064.915,1.2401173697247003,1974-07-01,5642.025,1.1349082512613777,1978-10-01,6734.069,1.1748955620318962,1985-01-01,7829.26,1.144290052183389,1986-07-01,8268.935,1.1842185349344347,1996-10-01,11219.238,1.1900441905511074,2006-04-01,15281.525,1.1488664270827553,2012-10-01,16300.035,1.0337974291606102,,,
21,1934-10-01,925.3081478836247,0.834025702767164,1942-10-01,1944.3628821901066,1.6613601489733842,1950-04-01,2253.045,0.9480780316769932,1954-01-01,2651.566,1.2411141899608693,1958-07-01,2995.112,1.1009150301812198,1962-10-01,3589.128,1.1896430170710504,1965-04-01,4116.267,1.2557837507363827,1974-10-01,5620.126,1.1305032094910255,1979-01-01,6746.176,1.177007874894969,1985-04-01,7898.194,1.154365141075214,1986-10-01,8313.338,1.190577619339705,1997-01-01,11291.665,1.1977266490736065,2006-07-01,15304.517,1.150594967715414,2013-01-01,16441.485,1.0427686151951658,,,
22,1935-01-01,943.473128077422,0.8503986920319131,1943-01-01,2027.7133949393638,1.7325789639109217,1950-07-01,2340.112,0.9847156975842524,1954-04-01,2654.456,1.2424669075658572,1958-10-01,3065.141,1.1266556297476336,1963-01-01,3628.306,1.2026288548909356,1965-07-01,4207.782,1.2837029916283462,1975-01-01,5551.713,1.1167417535964583,1979-04-01,6753.389,1.1782663297294733,1985-07-01,8018.809,1.171993696602058,1987-01-01,8375.274,1.1994476563129912,1997-04-01,11479.33,1.2176326037400262,2006-10-01,15433.643,1.160302672035728,2013-04-01,16464.402,1.0442220805211038,,,
23,1935-04-01,962.8577942325082,0.8678710441881983,1943-04-01,2107.179710218939,1.8004789277502502,1950-10-01,2384.92,1.0035708382686963,1954-07-01,2684.434,1.2564986613244464,1959-01-01,3123.978,1.1482823794754475,1963-04-01,3669.02,1.2161238112694852,1965-10-01,4304.731,1.3132800280183912,1975-04-01,5591.382,1.1247212778664302,1979-07-01,6803.558,1.1870193341093775,1985-10-01,8078.415,1.1807054462246844,1987-04-01,8465.63,1.2123878051885761,1997-07-01,11622.911,1.2328624914492912,2007-01-01,15478.956,1.1637093074605565,2013-07-01,16594.743,1.0524887002378236,,,
24,1935-07-01,986.231,0.8889384630915553,1943-07-01,2178.39,1.8613245336413906,1951-01-01,2417.311,1.017200923563952,1954-10-01,2736.96,1.2810844208121923,1959-04-01,3194.429,1.1741780938231237,1963-07-01,3749.681,1.242859496204647,1966-01-01,4409.518,1.3452482681467437,1975-07-01,5687.087,1.1439725917452186,1979-10-01,6820.572,1.1899877731159294,1986-01-01,8153.829,1.1917276232880796,1987-07-01,8539.075,1.2229060799480538,1997-10-01,11722.722,1.2434496187304038,2007-04-01,15577.779,1.1711388295091476,2013-10-01,16712.76,1.0599736946686482,,,
25,1935-10-01,1015.3976100901327,0.9152277619952739,1943-10-01,2237.8848215105513,1.912159861981222,1951-04-01,2459.196,1.034826070135277,1955-01-01,2815.134,1.3176751979929229,1959-07-01,3196.683,1.1750065978917623,1963-10-01,3774.264,1.2510077133450384,1966-04-01,4424.581,1.3498436626236672,1975-10-01,5763.665,1.1593764589852773,1980-01-01,6842.024,1.1937305116588086,1986-04-01,8190.552,1.1970948947270572,1987-10-01,8685.694,1.243903818758862,1998-01-01,11839.876,1.255876348344289,2007-07-01,15671.605,1.1781926766472746,2014-01-01,16654.247,1.05626262355914,,,
26,1936-01-01,1048.3065334496212,0.9448901917436608,1944-01-01,2285.8542730059435,1.9531473421540533,1951-07-01,2509.88,1.0561538230019605,1955-04-01,2860.942,1.3391164741345416,1959-10-01,3205.79,1.1783540630883427,1964-01-01,3853.835,1.2773821097196898,1966-07-01,4462.053,1.3612755567907835,1976-01-01,5893.276,1.1854480544415609,1980-04-01,6701.046,1.1691340267484027,1986-07-01,8268.935,1.2085510077135069,1988-01-01,8730.569,1.250330499674262,1998-04-01,11949.492,1.2675035091186169,2007-10-01,15767.146,1.1853754576400037,2014-04-01,16868.109,1.0698263972439908,,,
27,1936-04-01,1081.9426900842989,0.9752081125787768,1944-04-01,2323.4008379983643,1.985228990791053,1951-10-01,2515.408,1.0584799972945778,1955-07-01,2899.578,1.3572007638875887,1960-01-01,3277.847,1.2048400957741883,1964-04-01,3895.793,1.2912893990975742,1966-10-01,4498.66,1.3724435582258718,1976-04-01,5936.515,1.1941456936537749,1980-07-01,6693.082,1.1677445446602295,1986-10-01,8313.338,1.215040754022494,1988-04-01,8845.28,1.2667585998299489,1998-07-01,12099.191,1.2833823437846887,2008-01-01,15702.906,1.1805458886489641,2014-07-01,17064.616,1.082289464434464,,,
